,body_text,label,body_text_clean,body_text_tokenized,body_text_nostop,body_text_stemmed,body_text_pos
150,Stupid android... -_-,NOT_SARCASM,stupid android,"['stupid', 'android']","['stupid', 'android']","['stupid', 'android']","['stupid_JJ', 'android_NN']"
151,my legs are so sore. and I have sunburn on my scalp. band camp is getting off to a great start. #sarcasm,SARCASM,my legs are so sore and i have sunburn on my scalp band camp is getting off to a great start,"['my', 'legs', 'are', 'so', 'sore', 'and', 'i', 'have', 'sunburn', 'on', 'my', 'scalp', 'band', 'camp', 'is', 'getting', 'off', 'to', 'a', 'great', 'start']","['legs', 'sore', 'sunburn', 'scalp', 'band', 'camp', 'getting', 'great', 'start']","['leg', 'sore', 'sunburn', 'scalp', 'band', 'camp', 'get', 'great', 'start']","['leg_NN', 'sore_NN', 'sunburn_NN', 'scalp_NN', 'band_NN', 'camp_NN', 'get_VBP', 'great_JJ', 'start_NN']"
152,"Woah Arsenal, don't make too many signings jesus! Let others buy players for once #sarcasm",NOT_SARCASM,woah arsenal dont make too many signings jesus let others buy players for once,"['woah', 'arsenal', 'dont', 'make', 'too', 'many', 'signings', 'jesus', 'let', 'others', 'buy', 'players', 'for', 'once']","['woah', 'arsenal', 'dont', 'make', 'many', 'signings', 'jesus', 'let', 'others', 'buy', 'players']","['woah', 'arsen', 'dont', 'make', 'mani', 'sign', 'jesu', 'let', 'other', 'buy', 'player']","['woah_NN', 'arsen_VBZ', 'dont_JJ', 'make_VB', 'mani_JJ', 'sign_NN', 'jesu_NN', 'let_NN', 'other_JJ', 'buy_VB', 'player_NN']"
153,@JTOlinger speak for yourself sir! I am excelling in this class #sarcasm,NOT_SARCASM,jtolinger speak for yourself sir i am excelling in this class,"['jtolinger', 'speak', 'for', 'yourself', 'sir', 'i', 'am', 'excelling', 'in', 'this', 'class']","['jtolinger', 'speak', 'sir', 'excelling', 'class']","['jtoling', 'speak', 'sir', 'excel', 'class']","['jtoling_VBG', 'speak_NN', 'sir_JJ', 'excel_JJ', 'class_NN']"
154,"@ESPN_BMX Pres. Obama should have said ""freestyle? Is that like dressage on a bike?""",NOT_SARCASM,espn bmx pres obama should have said freestyle is that like dressage on a bike,"['espn', 'bmx', 'pres', 'obama', 'should', 'have', 'said', 'freestyle', 'is', 'that', 'like', 'dressage', 'on', 'a', 'bike']","['espn', 'bmx', 'pres', 'obama', 'said', 'freestyle', 'like', 'dressage', 'bike']","['espn', 'bmx', 'pre', 'obama', 'said', 'freestyl', 'like', 'dressag', 'bike']","['espn_NN', 'bmx_NN', 'pre_NN', 'obama_NN', 'said_VBD', 'freestyl_NNS', 'like_IN', 'dressag_NNS', 'bike_IN']"
155,@GFBguy @TonyMichael @ServiTechLabs @rictownsend @Bpowatch Thank you for following MobileWorxs :),NOT_SARCASM,gfbguy tonymichael servitechlabs rictownsend bpowatch thank you for following mobileworxs,"['gfbguy', 'tonymichael', 'servitechlabs', 'rictownsend', 'bpowatch', 'thank', 'you', 'for', 'following', 'mobileworxs']","['gfbguy', 'tonymichael', 'servitechlabs', 'rictownsend', 'bpowatch', 'thank', 'following', 'mobileworxs']","['gfbguy', 'tonymichael', 'servitechlab', 'rictownsend', 'bpowatch', 'thank', 'follow', 'mobileworx']","['gfbguy_NN', 'tonymichael_NN', 'servitechlab_NN', 'rictownsend_VBP', 'bpowatch_NN', 'thank_NN', 'follow_VBP', 'mobileworx_NN']"
156,Away to bed,NOT_SARCASM,away to bed,"['away', 'to', 'bed']","['away', 'bed']","['away', 'bed']","['away_RB', 'bed_NN']"
157,I love when my retainers are super tight and make me talk so attractively! #NOT #sarcasm #majorlisp,SARCASM,i love when my retainers are super tight and make me talk so attractively,"['i', 'love', 'when', 'my', 'retainers', 'are', 'super', 'tight', 'and', 'make', 'me', 'talk', 'so', 'attractively']","['love', 'retainers', 'super', 'tight', 'make', 'talk', 'attractively']","['love', 'retain', 'super', 'tight', 'make', 'talk', 'attract']","['love_NN', 'retain_NN', 'super_JJ', 'tight_RB', 'make_VBP', 'talk_NN', 'attract_NN']"
158,I'm incredibly annoyed that I'm gonna have to sit through lunch during 4th and 5th this year. I'll probably just stay in class and be a nerd,NOT_SARCASM,im incredibly annoyed that im gonna have to sit through lunch during th and th this year ill probably just stay in class and be a nerd,"['im', 'incredibly', 'annoyed', 'that', 'im', 'gon', 'na', 'have', 'to', 'sit', 'through', 'lunch', 'during', 'th', 'and', 'th', 'this', 'year', 'ill', 'probably', 'just', 'stay', 'in', 'class', 'and', 'be', 'a', 'nerd']","['im', 'incredibly', 'annoyed', 'im', 'gon', 'na', 'sit', 'lunch', 'th', 'th', 'year', 'ill', 'probably', 'stay', 'class', 'nerd']","['im', 'incred', 'annoy', 'im', 'gon', 'na', 'sit', 'lunch', 'th', 'th', 'year', 'ill', 'probabl', 'stay', 'class', 'nerd']","['im_NN', 'incred_VBD', 'annoy_JJ', 'im_NN', 'gon_NN', 'na_TO', 'sit_VB', 'lunch_NN', 'th_NN', 'th_JJ', 'year_NN', 'ill_NN', 'probabl_VBP', 'stay_JJ', 'class_NN', 'nerd_NN']"
159,My head hurt.,NOT_SARCASM,my head hurt,"['my', 'head', 'hurt']","['head', 'hurt']","['head', 'hurt']","['head_NN', 'hurt_VBD']"
160,Fuck these outta town hoes I'm sticking with my local love,NOT_SARCASM,fuck these outta town hoes im sticking with my local love,"['fuck', 'these', 'outta', 'town', 'hoes', 'im', 'sticking', 'with', 'my', 'local', 'love']","['fuck', 'outta', 'town', 'hoes', 'im', 'sticking', 'local', 'love']","['fuck', 'outta', 'town', 'hoe', 'im', 'stick', 'local', 'love']","['fuck_JJ', 'outta_MD', 'town_NN', 'hoe_VB', 'im_JJ', 'stick_JJ', 'local_JJ', 'love_NN']"
161,Aw Lindor closed in the mall? I wonder why it was always packed. #sarcasm,NOT_SARCASM,aw lindor closed in the mall i wonder why it was always packed,"['aw', 'lindor', 'closed', 'in', 'the', 'mall', 'i', 'wonder', 'why', 'it', 'was', 'always', 'packed']","['aw', 'lindor', 'closed', 'mall', 'wonder', 'always', 'packed']","['aw', 'lindor', 'close', 'mall', 'wonder', 'alway', 'pack']","['aw_RB', 'lindor_VBZ', 'close_JJ', 'mall_JJ', 'wonder_NN', 'alway_NN', 'pack_NN']"
162,Skimming breast milk is one of the true perks of being a NICU nurse #Sarcasm,NOT_SARCASM,skimming breast milk is one of the true perks of being a nicu nurse,"['skimming', 'breast', 'milk', 'is', 'one', 'of', 'the', 'true', 'perks', 'of', 'being', 'a', 'nicu', 'nurse']","['skimming', 'breast', 'milk', 'one', 'true', 'perks', 'nicu', 'nurse']","['skim', 'breast', 'milk', 'one', 'true', 'perk', 'nicu', 'nurs']","['skim_NN', 'breast_NN', 'milk_NN', 'one_CD', 'true_JJ', 'perk_NN', 'nicu_NN', 'nurs_NNS']"
163,@deetraware it was #sarcasm!,NOT_SARCASM,deetraware it was,"['deetraware', 'it', 'was']",['deetraware'],['deetrawar'],['deetrawar_NN']
164,I will sell any ku student my extra first home game ticket for this weekend! Hit me uo if u want it. Gotts be a student...,NOT_SARCASM,i will sell any ku student my extra first home game ticket for this weekend hit me uo if u want it gotts be a student,"['i', 'will', 'sell', 'any', 'ku', 'student', 'my', 'extra', 'first', 'home', 'game', 'ticket', 'for', 'this', 'weekend', 'hit', 'me', 'uo', 'if', 'u', 'want', 'it', 'gotts', 'be', 'a', 'student']","['sell', 'ku', 'student', 'extra', 'first', 'home', 'game', 'ticket', 'weekend', 'hit', 'uo', 'u', 'want', 'gotts', 'student']","['sell', 'ku', 'student', 'extra', 'first', 'home', 'game', 'ticket', 'weekend', 'hit', 'uo', 'u', 'want', 'gott', 'student']","['sell_VB', 'ku_JJ', 'student_NN', 'extra_JJ', 'first_RB', 'home_NN', 'game_NN', 'ticket_NN', 'weekend_NN', 'hit_VBD', 'uo_JJ', 'u_JJ', 'want_VBP', 'gott_JJ', 'student_NN']"
165,Feeling like I got this under control somewhat,NOT_SARCASM,feeling like i got this under control somewhat,"['feeling', 'like', 'i', 'got', 'this', 'under', 'control', 'somewhat']","['feeling', 'like', 'got', 'control', 'somewhat']","['feel', 'like', 'got', 'control', 'somewhat']","['feel_NN', 'like_IN', 'got_VBD', 'control_NN', 'somewhat_RB']"
166,Was that necessary? #thanks #sarcasm,NOT_SARCASM,was that necessary,"['was', 'that', 'necessary']",['necessary'],['necessari'],['necessari_NN']
167,These old ladies pointing at me on this train ffs,NOT_SARCASM,these old ladies pointing at me on this train ffs,"['these', 'old', 'ladies', 'pointing', 'at', 'me', 'on', 'this', 'train', 'ffs']","['old', 'ladies', 'pointing', 'train', 'ffs']","['old', 'ladi', 'point', 'train', 'ff']","['old_JJ', 'ladi_NN', 'point_NN', 'train_NN', 'ff_NN']"
168,Super excited to run 17 miles at practice today.... #sarcasm,NOT_SARCASM,super excited to run miles at practice today,"['super', 'excited', 'to', 'run', 'miles', 'at', 'practice', 'today']","['super', 'excited', 'run', 'miles', 'practice', 'today']","['super', 'excit', 'run', 'mile', 'practic', 'today']","['super_JJ', 'excit_NN', 'run_VB', 'mile_RB', 'practic_JJ', 'today_NN']"
169,@EdRunNFootDoc thanks for downloading it!,NOT_SARCASM,edrunnfootdoc thanks for downloading it,"['edrunnfootdoc', 'thanks', 'for', 'downloading', 'it']","['edrunnfootdoc', 'thanks', 'downloading']","['edrunnfootdoc', 'thank', 'download']","['edrunnfootdoc_JJ', 'thank_NN', 'download_NN']"
170,I love that Joey Barton quote “For some reason the Manager dislikes me”. Unbelievable. How can anyone dislike Joey Barton?? #SARCASM,NOT_SARCASM,i love that joey barton quote for some reason the manager dislikes me unbelievable how can anyone dislike joey barton,"['i', 'love', 'that', 'joey', 'barton', 'quote', 'for', 'some', 'reason', 'the', 'manager', 'dislikes', 'me', 'unbelievable', 'how', 'can', 'anyone', 'dislike', 'joey', 'barton']","['love', 'joey', 'barton', 'quote', 'reason', 'manager', 'dislikes', 'unbelievable', 'anyone', 'dislike', 'joey', 'barton']","['love', 'joey', 'barton', 'quot', 'reason', 'manag', 'dislik', 'unbeliev', 'anyon', 'dislik', 'joey', 'barton']","['love_VB', 'joey_NN', 'barton_NN', 'quot_VBZ', 'reason_NN', 'manag_NN', 'dislik_NN', 'unbeliev_JJ', 'anyon_NN', 'dislik_NN', 'joey_NN', 'barton_NN']"
171,"The day's top national intelligence headlines including the latest pirate kidnapping, and how cosmic rays scan cargo http://t.co/LoSwTXhs",NOT_SARCASM,the days top national intelligence headlines including the latest pirate kidnapping and how cosmic rays scan cargo,"['the', 'days', 'top', 'national', 'intelligence', 'headlines', 'including', 'the', 'latest', 'pirate', 'kidnapping', 'and', 'how', 'cosmic', 'rays', 'scan', 'cargo']","['days', 'top', 'national', 'intelligence', 'headlines', 'including', 'latest', 'pirate', 'kidnapping', 'cosmic', 'rays', 'scan', 'cargo']","['day', 'top', 'nation', 'intellig', 'headlin', 'includ', 'latest', 'pirat', 'kidnap', 'cosmic', 'ray', 'scan', 'cargo']","['day_NN', 'top_JJ', 'nation_NN', 'intellig_NN', 'headlin_NN', 'includ_NN', 'latest_JJS', 'pirat_NN', 'kidnap_NN', 'cosmic_JJ', 'ray_NN', 'scan_JJ', 'cargo_NN']"
172,"Exactly, but some middle class want it raised apparently. #sarcasm RT @TheRealRoseanne: Romney is lying now-Obama CUT middle class taxes.",NOT_SARCASM,exactly but some middle class want it raised apparently rt therealroseanne romney is lying now obama cut middle class taxes,"['exactly', 'but', 'some', 'middle', 'class', 'want', 'it', 'raised', 'apparently', 'rt', 'therealroseanne', 'romney', 'is', 'lying', 'now', 'obama', 'cut', 'middle', 'class', 'taxes']","['exactly', 'middle', 'class', 'want', 'raised', 'apparently', 'rt', 'therealroseanne', 'romney', 'lying', 'obama', 'cut', 'middle', 'class', 'taxes']","['exactli', 'middl', 'class', 'want', 'rais', 'appar', 'rt', 'therealroseann', 'romney', 'lie', 'obama', 'cut', 'middl', 'class', 'tax']","['exactli_JJ', 'middl_NNS', 'class_NN', 'want_VBP', 'rais_NN', 'appar_NN', 'rt_NN', 'therealroseann_JJ', 'romney_NN', 'lie_NN', 'obama_NN', 'cut_NN', 'middl_JJ', 'class_NN', 'tax_NN']"
173,I've lost a follower. I'm heartbroken. Honestly. #sarcasm #tooearlytocare,NOT_SARCASM,ive lost a follower im heartbroken honestly,"['ive', 'lost', 'a', 'follower', 'im', 'heartbroken', 'honestly']","['ive', 'lost', 'follower', 'im', 'heartbroken', 'honestly']","['ive', 'lost', 'follow', 'im', 'heartbroken', 'honestli']","['ive_JJ', 'lost_VBN', 'follow_JJ', 'im_NN', 'heartbroken_NN', 'honestli_NN']"
174,"The only way that this will work, is if you love me when it hurts.. #NP",NOT_SARCASM,the only way that this will work is if you love me when it hurts,"['the', 'only', 'way', 'that', 'this', 'will', 'work', 'is', 'if', 'you', 'love', 'me', 'when', 'it', 'hurts']","['way', 'work', 'love', 'hurts']","['way', 'work', 'love', 'hurt']","['way_NN', 'work_NN', 'love_NN', 'hurt_VBD']"
175,I don't think I'll be able to make it through a whole day tomorrow at school without breaking down. So that's cool. #sarcasm,SARCASM,i dont think ill be able to make it through a whole day tomorrow at school without breaking down so thats cool,"['i', 'dont', 'think', 'ill', 'be', 'able', 'to', 'make', 'it', 'through', 'a', 'whole', 'day', 'tomorrow', 'at', 'school', 'without', 'breaking', 'down', 'so', 'thats', 'cool']","['dont', 'think', 'ill', 'able', 'make', 'whole', 'day', 'tomorrow', 'school', 'without', 'breaking', 'thats', 'cool']","['dont', 'think', 'ill', 'abl', 'make', 'whole', 'day', 'tomorrow', 'school', 'without', 'break', 'that', 'cool']","['dont_NN', 'think_VBP', 'ill_JJ', 'abl_NNS', 'make_VBP', 'whole_JJ', 'day_NN', 'tomorrow_NN', 'school_NN', 'without_IN', 'break_NN', 'that_IN', 'cool_NN']"
176,Just another left-wing conspiracy by our America-hating President to make sure EVERYONE can vote. http://t.co/8kLa2sId #VOTE #SARCASM,SARCASM,just another left wing conspiracy by our america hating president to make sure everyone can vote,"['just', 'another', 'left', 'wing', 'conspiracy', 'by', 'our', 'america', 'hating', 'president', 'to', 'make', 'sure', 'everyone', 'can', 'vote']","['another', 'left', 'wing', 'conspiracy', 'america', 'hating', 'president', 'make', 'sure', 'everyone', 'vote']","['anoth', 'left', 'wing', 'conspiraci', 'america', 'hate', 'presid', 'make', 'sure', 'everyon', 'vote']","['anoth_DT', 'left_VBD', 'wing_VBG', 'conspiraci_NN', 'america_NN', 'hate_VBP', 'presid_NNS', 'make_VBP', 'sure_JJ', 'everyon_JJ', 'vote_NN']"
177,"School, school, school. and then work. im so glad i busy myself... #sarcasm",NOT_SARCASM,school school school and then work im so glad i busy myself,"['school', 'school', 'school', 'and', 'then', 'work', 'im', 'so', 'glad', 'i', 'busy', 'myself']","['school', 'school', 'school', 'work', 'im', 'glad', 'busy']","['school', 'school', 'school', 'work', 'im', 'glad', 'busi']","['school_NN', 'school_NN', 'school_NN', 'work_NN', 'im_NN', 'glad_JJ', 'busi_NN']"
178,British people are amazing and very entertaining x). Hopefully visiting with my sister soon xx,NOT_SARCASM,british people are amazing and very entertaining x hopefully visiting with my sister soon xx,"['british', 'people', 'are', 'amazing', 'and', 'very', 'entertaining', 'x', 'hopefully', 'visiting', 'with', 'my', 'sister', 'soon', 'xx']","['british', 'people', 'amazing', 'entertaining', 'x', 'hopefully', 'visiting', 'sister', 'soon', 'xx']","['british', 'peopl', 'amaz', 'entertain', 'x', 'hope', 'visit', 'sister', 'soon', 'xx']","['british_JJ', 'peopl_NN', 'amaz_NN', 'entertain_VBP', 'x_IN', 'hope_NN', 'visit_NN', 'sister_NN', 'soon_RB', 'xx_VBD']"
179,Well that's great. Five hours of sleep? #sarcasm,SARCASM,well thats great five hours of sleep,"['well', 'thats', 'great', 'five', 'hours', 'of', 'sleep']","['well', 'thats', 'great', 'five', 'hours', 'sleep']","['well', 'that', 'great', 'five', 'hour', 'sleep']","['well_RB', 'that_IN', 'great_JJ', 'five_CD', 'hour_NN', 'sleep_NN']"
180,@egino “@TimeOutLondon: The mice at Farringdon station are hungry. Hungry for blood: http://t.co/hT7l8kO6 via @ronniejoice”,NOT_SARCASM,egino timeoutlondon the mice at farringdon station are hungry hungry for blood via ronniejoice,"['egino', 'timeoutlondon', 'the', 'mice', 'at', 'farringdon', 'station', 'are', 'hungry', 'hungry', 'for', 'blood', 'via', 'ronniejoice']","['egino', 'timeoutlondon', 'mice', 'farringdon', 'station', 'hungry', 'hungry', 'blood', 'via', 'ronniejoice']","['egino', 'timeoutlondon', 'mice', 'farringdon', 'station', 'hungri', 'hungri', 'blood', 'via', 'ronniejoic']","['egino_NN', 'timeoutlondon_NN', 'mice_NN', 'farringdon_NN', 'station_NN', 'hungri_NN', 'hungri_NN', 'blood_NN', 'via_IN', 'ronniejoic_NN']"
181,"Guess I was right, falcao is comin #lfc #sarcasm",NOT_SARCASM,guess i was right falcao is comin,"['guess', 'i', 'was', 'right', 'falcao', 'is', 'comin']","['guess', 'right', 'falcao', 'comin']","['guess', 'right', 'falcao', 'comin']","['guess_NN', 'right_RB', 'falcao_VBZ', 'comin_NN']"
182,"@thomasbrackley1 hello, gorgeous.",NOT_SARCASM,thomasbrackley hello gorgeous,"['thomasbrackley', 'hello', 'gorgeous']","['thomasbrackley', 'hello', 'gorgeous']","['thomasbrackley', 'hello', 'gorgeou']","['thomasbrackley_NN', 'hello_NN', 'gorgeou_NN']"
183,Thank you for the nice surprise under my pillow @Jennayynayyy #sarcasm,NOT_SARCASM,thank you for the nice surprise under my pillow jennayynayyy,"['thank', 'you', 'for', 'the', 'nice', 'surprise', 'under', 'my', 'pillow', 'jennayynayyy']","['thank', 'nice', 'surprise', 'pillow', 'jennayynayyy']","['thank', 'nice', 'surpris', 'pillow', 'jennayynayyy']","['thank_NN', 'nice_JJ', 'surpris_RB', 'pillow_JJ', 'jennayynayyy_NN']"
184,I think I have food poisoning. Joy. #sarcasm,SARCASM,i think i have food poisoning joy,"['i', 'think', 'i', 'have', 'food', 'poisoning', 'joy']","['think', 'food', 'poisoning', 'joy']","['think', 'food', 'poison', 'joy']","['think_VB', 'food_NN', 'poison_NN', 'joy_NN']"
185,"stfu , no it don't ! “@genesisfalconn: we ALL know! “@Trez_DaMan: @OMG_TaylorGangg we all know who heart ur clos to lol jkjk””",NOT_SARCASM,stfu no it dont genesisfalconn we all know trez daman omg taylorgangg we all know who heart ur clos to lol jkjk,"['stfu', 'no', 'it', 'dont', 'genesisfalconn', 'we', 'all', 'know', 'trez', 'daman', 'omg', 'taylorgangg', 'we', 'all', 'know', 'who', 'heart', 'ur', 'clos', 'to', 'lol', 'jkjk']","['stfu', 'dont', 'genesisfalconn', 'know', 'trez', 'daman', 'omg', 'taylorgangg', 'know', 'heart', 'ur', 'clos', 'lol', 'jkjk']","['stfu', 'dont', 'genesisfalconn', 'know', 'trez', 'daman', 'omg', 'taylorgangg', 'know', 'heart', 'ur', 'clo', 'lol', 'jkjk']","['stfu_NN', 'dont_NN', 'genesisfalconn_NN', 'know_VBP', 'trez_JJ', 'daman_JJ', 'omg_NN', 'taylorgangg_NN', 'know_VBP', 'heart_NN', 'ur_JJ', 'clo_NN', 'lol_NN', 'jkjk_NN']"
186,Know what's great? Waking up at 4am for no reason #sarcasm,SARCASM,know whats great waking up at am for no reason,"['know', 'whats', 'great', 'waking', 'up', 'at', 'am', 'for', 'no', 'reason']","['know', 'whats', 'great', 'waking', 'reason']","['know', 'what', 'great', 'wake', 'reason']","['know_VB', 'what_WP', 'great_JJ', 'wake_NN', 'reason_NN']"
187,I always know its gonna be a good day when I wake up late and literally have 10 minutes to get ready #sarcasm,SARCASM,i always know its gonna be a good day when i wake up late and literally have minutes to get ready,"['i', 'always', 'know', 'its', 'gon', 'na', 'be', 'a', 'good', 'day', 'when', 'i', 'wake', 'up', 'late', 'and', 'literally', 'have', 'minutes', 'to', 'get', 'ready']","['always', 'know', 'gon', 'na', 'good', 'day', 'wake', 'late', 'literally', 'minutes', 'get', 'ready']","['alway', 'know', 'gon', 'na', 'good', 'day', 'wake', 'late', 'liter', 'minut', 'get', 'readi']","['alway_RB', 'know_JJ', 'gon_NN', 'na_TO', 'good_JJ', 'day_NN', 'wake_VB', 'late_JJ', 'liter_NN', 'minut_NN', 'get_VBP', 'readi_NN']"
188,Eager to slim down? http://t.co/uvE9GdV3 works perfect for just that,NOT_SARCASM,eager to slim down works perfect for just that,"['eager', 'to', 'slim', 'down', 'works', 'perfect', 'for', 'just', 'that']","['eager', 'slim', 'works', 'perfect']","['eager', 'slim', 'work', 'perfect']","['eager_JJ', 'slim_JJ', 'work_NN', 'perfect_NN']"
189,One more day to the new gNote.  Interesting to note all the media hype on Toronto blogs for this event.  #notaniphone  #sarcasm #elitist,NOT_SARCASM,one more day to the new gnote interesting to note all the media hype on toronto blogs for this event,"['one', 'more', 'day', 'to', 'the', 'new', 'gnote', 'interesting', 'to', 'note', 'all', 'the', 'media', 'hype', 'on', 'toronto', 'blogs', 'for', 'this', 'event']","['one', 'day', 'new', 'gnote', 'interesting', 'note', 'media', 'hype', 'toronto', 'blogs', 'event']","['one', 'day', 'new', 'gnote', 'interest', 'note', 'media', 'hype', 'toronto', 'blog', 'event']","['one_CD', 'day_NN', 'new_JJ', 'gnote_JJ', 'interest_NN', 'note_NN', 'media_NNS', 'hype_NN', 'toronto_IN', 'blog_NN', 'event_NN']"
190,@aliciatien will see how fat you are:),NOT_SARCASM,aliciatien will see how fat you are,"['aliciatien', 'will', 'see', 'how', 'fat', 'you', 'are']","['aliciatien', 'see', 'fat']","['aliciatien', 'see', 'fat']","['aliciatien_NN', 'see_VBP', 'fat_JJ']"
191,"@braziliantaco Tuesday the 4th, no school the 5th, then we all go the 6th. #newsquids #wohoo #sarcasm",NOT_SARCASM,braziliantaco tuesday the th no school the th then we all go the th,"['braziliantaco', 'tuesday', 'the', 'th', 'no', 'school', 'the', 'th', 'then', 'we', 'all', 'go', 'the', 'th']","['braziliantaco', 'tuesday', 'th', 'school', 'th', 'go', 'th']","['braziliantaco', 'tuesday', 'th', 'school', 'th', 'go', 'th']","['braziliantaco_NN', 'tuesday_NN', 'th_JJ', 'school_NN', 'th_NN', 'go_VBP', 'th_NN']"
192,@Marcello_N u heard he going to THFC?,NOT_SARCASM,marcello n u heard he going to thfc,"['marcello', 'n', 'u', 'heard', 'he', 'going', 'to', 'thfc']","['marcello', 'n', 'u', 'heard', 'going', 'thfc']","['marcello', 'n', 'u', 'heard', 'go', 'thfc']","['marcello_NN', 'n_CC', 'u_JJ', 'heard_NN', 'go_VBP', 'thfc_NN']"
193,Wow! Great day that was!! ..#sarcasm,NOT_SARCASM,wow great day that was,"['wow', 'great', 'day', 'that', 'was']","['wow', 'great', 'day']","['wow', 'great', 'day']","['wow_JJ', 'great_JJ', 'day_NN']"
194,I just love my job! #sarcasm #countingtheminutesuntilIgettoleave,SARCASM,i just love my job,"['i', 'just', 'love', 'my', 'job']","['love', 'job']","['love', 'job']","['love_VB', 'job_NN']"
195,"I've completed Ready for the Journey collection!
http://t.co/tSJCjdKh #ipad #ipadgames #gameinsight",NOT_SARCASM,ive completed ready for the journey collection,"['ive', 'completed', 'ready', 'for', 'the', 'journey', 'collection']","['ive', 'completed', 'ready', 'journey', 'collection']","['ive', 'complet', 'readi', 'journey', 'collect']","['ive_JJ', 'complet_NN', 'readi_VB', 'journey_NN', 'collect_NN']"
196,"It's our godforsaken right to be loved, loved, loved, loved",NOT_SARCASM,its our godforsaken right to be loved loved loved loved,"['its', 'our', 'godforsaken', 'right', 'to', 'be', 'loved', 'loved', 'loved', 'loved']","['godforsaken', 'right', 'loved', 'loved', 'loved', 'loved']","['godforsaken', 'right', 'love', 'love', 'love', 'love']","['godforsaken_RB', 'right_JJ', 'love_NN', 'love_NN', 'love_NN', 'love_NN']"
197,Happy birthday dad. Glad your around to celebrate it. #48yearsyoung,NOT_SARCASM,happy birthday dad glad your around to celebrate it,"['happy', 'birthday', 'dad', 'glad', 'your', 'around', 'to', 'celebrate', 'it']","['happy', 'birthday', 'dad', 'glad', 'around', 'celebrate']","['happi', 'birthday', 'dad', 'glad', 'around', 'celebr']","['happi_NN', 'birthday_NN', 'dad_VB', 'glad_NN', 'around_IN', 'celebr_NN']"
198,"Bronchitis, eat infection and a fever. Makes for a great start to my labor day weekend #Sarcasm",SARCASM,bronchitis eat infection and a fever makes for a great start to my labor day weekend,"['bronchitis', 'eat', 'infection', 'and', 'a', 'fever', 'makes', 'for', 'a', 'great', 'start', 'to', 'my', 'labor', 'day', 'weekend']","['bronchitis', 'eat', 'infection', 'fever', 'makes', 'great', 'start', 'labor', 'day', 'weekend']","['bronchiti', 'eat', 'infect', 'fever', 'make', 'great', 'start', 'labor', 'day', 'weekend']","['bronchiti_NN', 'eat_NN', 'infect_VBP', 'fever_RB', 'make_VBP', 'great_JJ', 'start_JJ', 'labor_NN', 'day_NN', 'weekend_NN']"
199,This is what I get for taking Ap world... 😔👍 #homework,NOT_SARCASM,this is what i get for taking ap world,"['this', 'is', 'what', 'i', 'get', 'for', 'taking', 'ap', 'world']","['get', 'taking', 'ap', 'world']","['get', 'take', 'ap', 'world']","['get_VB', 'take_VB', 'ap_JJ', 'world_NN']"
200,@Joey7Barton Sure a smart fella like you will be able to pick up the language no problem. #sarcasm #northernmonkey,NOT_SARCASM,joey barton sure a smart fella like you will be able to pick up the language no problem,"['joey', 'barton', 'sure', 'a', 'smart', 'fella', 'like', 'you', 'will', 'be', 'able', 'to', 'pick', 'up', 'the', 'language', 'no', 'problem']","['joey', 'barton', 'sure', 'smart', 'fella', 'like', 'able', 'pick', 'language', 'problem']","['joey', 'barton', 'sure', 'smart', 'fella', 'like', 'abl', 'pick', 'languag', 'problem']","['joey_NN', 'barton_NN', 'sure_JJ', 'smart_JJ', 'fella_NN', 'like_IN', 'abl_NN', 'pick_NN', 'languag_NN', 'problem_NN']"
201,"oh, you wanted me to lie.
 (V_v)
 #FOLLOW",NOT_SARCASM,oh you wanted me to lie v v,"['oh', 'you', 'wanted', 'me', 'to', 'lie', 'v', 'v']","['oh', 'wanted', 'lie', 'v', 'v']","['oh', 'want', 'lie', 'v', 'v']","['oh_UH', 'want_VBP', 'lie_JJ', 'v_NN', 'v_NN']"
202,Happy birthday Fine!!! Xoxo Love you tons!  http://t.co/j6SAPJur,NOT_SARCASM,happy birthday fine xoxo love you tons,"['happy', 'birthday', 'fine', 'xoxo', 'love', 'you', 'tons']","['happy', 'birthday', 'fine', 'xoxo', 'love', 'tons']","['happi', 'birthday', 'fine', 'xoxo', 'love', 'ton']","['happi_NN', 'birthday_NN', 'fine_JJ', 'xoxo_NNP', 'love_NN', 'ton_NN']"
203,LOVE Being Called into Work on My Day Off! #Sarcasm,SARCASM,love being called into work on my day off,"['love', 'being', 'called', 'into', 'work', 'on', 'my', 'day', 'off']","['love', 'called', 'work', 'day']","['love', 'call', 'work', 'day']","['love_VB', 'call_NN', 'work_NN', 'day_NN']"
204,I think we don't have school tomorrow.... #sarcasm,NOT_SARCASM,i think we dont have school tomorrow,"['i', 'think', 'we', 'dont', 'have', 'school', 'tomorrow']","['think', 'dont', 'school', 'tomorrow']","['think', 'dont', 'school', 'tomorrow']","['think_VB', 'dont_JJ', 'school_NN', 'tomorrow_NN']"
205,and now tomorrow the real work starts... yaaaaaay #sarcasm,NOT_SARCASM,and now tomorrow the real work starts yaaaaaay,"['and', 'now', 'tomorrow', 'the', 'real', 'work', 'starts', 'yaaaaaay']","['tomorrow', 'real', 'work', 'starts', 'yaaaaaay']","['tomorrow', 'real', 'work', 'start', 'yaaaaaay']","['tomorrow_NN', 'real_JJ', 'work_NN', 'start_NN', 'yaaaaaay_NN']"
